concentration_mol_L,replicate,absorbance_A
0.000000,1,0.0050
0.000000,2,-0.0032
0.000000,3,0.0017
0.002000,1,0.2448
0.002000,2,0.2401
0.002000,3,0.2405
0.004000,1,0.4949
0.004000,2,0.4831
0.004000,3,0.4839
0.006000,1,0.7199
0.006000,2,0.7337
0.006000,3,0.7272
0.008000,1,0.9507
0.008000,2,0.9576
0.008000,3,0.9511
0.010000,1,1.2017
0.010000,2,1.1917
0.010000,3,1.1927
0.012000,1,1.4496
0.012000,2,1.4409
0.012000,3,1.4486
0.014000,1,1.6745
0.014000,2,1.6754
0.014000,3,1.6719
0.016000,1,1.9118
0.016000,2,1.9155
0.016000,3,1.9102
0.018000,1,2.1632
0.018000,2,2.1603
0.018000,3,2.1607
0.020000,1,2.3984
0.020000,2,2.4021
0.020000,3,2.4011
